text,label
Customer reviews and ratings are shown on this page.,none
Act now before this deal expires tonight. Offer available on this page.,fake_urgency
The product description includes material and care instructions.,none
The cart shows the items you selected.,none
Customer reviews and ratings are shown on this page.,none
A recurring subscription begins after the free trial. Please order online.,forced_continuity
A processing fee is calculated at checkout. Check the details before purchasing.,hidden_fees
Act now before this deal expires tonight. Check the details before purchasing.,fake_urgency
Only 15 minutes left to claim this price. Offer available on this page.,fake_urgency
"Was $199, now only $99.",misleading_discount
Free standard shipping is available for orders over the stated threshold.,none
Additional charges may apply at checkout. This message appears near the purchase option.,hidden_fees
You can compare available colors before purchasing.,none
Only 2 left in stock. Check the details before purchasing.,scarcity
Additional charges may apply at checkout. Check the details before purchasing.,hidden_fees
Only 2 left in stock. Offer available on this page.,scarcity
Only 3 items remaining. Please order online.,scarcity
You can compare available colors before purchasing.,none
Limited quantity available. Please order online.,scarcity
Low stock: just 4 available. Offer available on this page.,scarcity
A service fee will be added at checkout. Please order online.,hidden_fees
A processing fee is calculated at checkout.,hidden_fees
50% off the original price today. Check the details before purchasing.,misleading_discount
"Compare at $250, our price is $129. Offer available on this page.",misleading_discount
50% off the original price today. Please order online.,misleading_discount
Limited quantity available. This message appears near the purchase option.,scarcity
Shipping information is provided before completing the order.,none
Payment methods are listed during checkout.,none
The seller provides a warranty for this product.,none
"Compare at $250, our price is $129. This message appears near the purchase option.",misleading_discount
Product specifications are provided by the seller.,none
Customer reviews and ratings are shown on this page.,none
Delivery estimates are shown for your selected address.,none
Payment methods are listed during checkout.,none
The cart shows the items you selected.,none
Free standard shipping is available for orders over the stated threshold.,none
Only 2 left in stock.,scarcity
A recurring subscription begins after the free trial. This message appears near the purchase option.,forced_continuity
Your subscription renews automatically after the trial.,forced_continuity
Only 15 minutes left to claim this price. This message appears near the purchase option.,fake_urgency
A recurring subscription begins after the free trial. Offer available on this page.,forced_continuity
50% off the original price today. This message appears near the purchase option.,misleading_discount
"Compare at $250, our price is $129.",misleading_discount
The product description includes material and care instructions.,none
A service fee will be added at checkout. Please order online.,hidden_fees
"Hurry, this offer ends in 10 minutes.",fake_urgency
Choose a color and size before adding to cart.,none
Returns are accepted according to the store return policy.,none
Payment methods are listed during checkout.,none
Product dimensions are listed below.,none
The seller provides a warranty for this product.,none
The product description includes material and care instructions.,none
Only 3 items remaining.,scarcity
50% off the original price today. This message appears near the purchase option.,misleading_discount
"Hurry, this offer ends in 10 minutes. Check the details before purchasing.",fake_urgency
